,Season,Game,Score,Teams,Home Team,Away Team
286,2000-2001,29,1-1,Real Zaragoza - Espanyol,Real Zaragoza,Espanyol
287,2000-2001,29,4-1,Rayo Vallecano - Real Valladolid,Rayo Vallecano,Real Valladolid
288,2000-2001,29,1-1,Celta - Alavés,Celta,Alavés
289,2000-2001,29,1-0,R. Sociedad - Real Betis,R. Sociedad,Real Betis
290,2000-2001,30,0-2,Alavés - Real Zaragoza,Alavés,Real Zaragoza
291,2000-2001,30,1-0,Valencia - Mallorca,Valencia,Mallorca
292,2000-2001,30,0-0,Real Madrid - Rayo Vallecano,Real Madrid,Rayo Vallecano
293,2000-2001,30,3-0,Numancia - Atlético,Numancia,Atlético
294,2000-2001,30,1-1,Athletic - Sevilla,Athletic,Sevilla
295,2000-2001,30,1-0,Espanyol - Racing,Espanyol,Racing
296,2000-2001,30,2-1,Real Valladolid - R. Sociedad,Real Valladolid,R. Sociedad
297,2000-2001,30,1-2,Málaga - Barcelona,Málaga,Barcelona
298,2000-2001,30,3-1,Deportivo - Real Oviedo,Deportivo,Real Oviedo
299,2000-2001,30,0-0,Real Betis - Celta,Real Betis,Celta
300,2000-2001,31,1-1,R. Sociedad - Real Madrid,R. Sociedad,Real Madrid
301,2000-2001,31,1-0,Real Zaragoza - Real Betis,Real Zaragoza,Real Betis
302,2000-2001,31,3-0,Barcelona - Valencia,Barcelona,Valencia
303,2000-2001,31,2-2,Real Oviedo - Málaga,Real Oviedo,Málaga
304,2000-2001,31,1-3,Sevilla - Deportivo,Sevilla,Deportivo
305,2000-2001,31,1-1,Celta - Real Valladolid,Celta,Real Valladolid
306,2000-2001,31,1-2,Atlético - Athletic,Atlético,Athletic
307,2000-2001,31,0-0,Racing - Alavés,Racing,Alavés
308,2000-2001,31,1-3,Mallorca - Espanyol,Mallorca,Espanyol
309,2000-2001,31,0-0,Rayo Vallecano - Numancia,Rayo Vallecano,Numancia
310,2000-2001,32,4-1,Deportivo - Atlético,Deportivo,Atlético
311,2000-2001,32,3-0,Málaga - Sevilla,Málaga,Sevilla
312,2000-2001,32,2-2,Real Betis - Racing,Real Betis,Racing
313,2000-2001,32,0-3,Barcelona - Mallorca,Barcelona,Mallorca
314,2000-2001,32,6-2,Valencia - Real Oviedo,Valencia,Real Oviedo
315,2000-2001,32,1-2,Athletic - Rayo Vallecano,Athletic,Rayo Vallecano
316,2000-2001,32,1-2,Numancia - R. Sociedad,Numancia,R. Sociedad
317,2000-2001,32,1-1,Real Valladolid - Real Zaragoza,Real Valladolid,Real Zaragoza
318,2000-2001,32,1-0,Real Madrid - Celta,Real Madrid,Celta
319,2000-2001,32,0-0,Alavés - Espanyol,Alavés,Espanyol
320,2000-2001,33,1-2,Sevilla - Valencia,Sevilla,Valencia
321,2000-2001,33,3-0,Real Oviedo - Barcelona,Real Oviedo,Barcelona
322,2000-2001,33,0-1,Real Zaragoza - Real Madrid,Real Zaragoza,Real Madrid
323,2000-2001,33,1-1,Racing - Real Valladolid,Racing,Real Valladolid
324,2000-2001,33,2-0,Rayo Vallecano - Deportivo,Rayo Vallecano,Deportivo
325,2000-2001,33,2-2,Atlético - Málaga,Atlético,Málaga
326,2000-2001,33,4-1,R. Sociedad - Athletic,R. Sociedad,Athletic
327,2000-2001,33,0-0,Celta - Numancia,Celta,Numancia
328,2000-2001,33,2-0,Mallorca - Alavés,Mallorca,Alavés
329,2000-2001,33,3-0,Espanyol - Real Betis,Espanyol,Real Betis
330,2000-2001,34,1-0,Athletic - Celta,Athletic,Celta
331,2000-2001,34,2-0,Valencia - Atlético,Valencia,Atlético
332,2000-2001,34,2-4,Real Madrid - Racing,Real Madrid,Racing
333,2000-2001,34,1-2,Numancia - Real Zaragoza,Numancia,Real Zaragoza
334,2000-2001,34,2-0,Málaga - Rayo Vallecano,Málaga,Rayo Vallecano
335,2000-2001,34,1-0,Real Valladolid - Espanyol,Real Valladolid,Espanyol
336,2000-2001,34,2-0,Barcelona - Sevilla,Barcelona,Sevilla
337,2000-2001,34,0-0,Real Oviedo - Mallorca,Real Oviedo,Mallorca
338,2000-2001,34,2-0,Deportivo - R. Sociedad,Deportivo,R. Sociedad
339,2000-2001,34,0-1,Real Betis - Alavés,Real Betis,Alavés
340,2000-2001,35,0-3,Atlético - Barcelona,Atlético,Barcelona
341,2000-2001,35,0-2,Espanyol - Real Madrid,Espanyol,Real Madrid
342,2000-2001,35,1-3,Rayo Vallecano - Valencia,Rayo Vallecano,Valencia
343,2000-2001,35,1-1,Racing - Numancia,Racing,Numancia
344,2000-2001,35,2-2,R. Sociedad - Málaga,R. Sociedad,Málaga
345,2000-2001,35,2-3,Sevilla - Real Oviedo,Sevilla,Real Oviedo
346,2000-2001,35,2-1,Celta - Deportivo,Celta,Deportivo
347,2000-2001,35,0-0,Real Zaragoza - Athletic,Real Zaragoza,Athletic
348,2000-2001,35,4-0,Mallorca - Real Betis,Mallorca,Real Betis
349,2000-2001,35,1-0,Alavés - Real Valladolid,Alavés,Real Valladolid
350,2000-2001,36,4-0,Valencia - R. Sociedad,Valencia,R. Sociedad
351,2000-2001,36,0-1,Real Madrid - Alavés,Real Madrid,Alavés
352,2000-2001,36,0-2,Barcelona - Rayo Vallecano,Barcelona,Rayo Vallecano
353,2000-2001,36,2-0,Numancia - Espanyol,Numancia,Espanyol
354,2000-2001,36,0-3,Real Valladolid - Real Betis,Real Valladolid,Real Betis
355,2000-2001,36,2-2,Deportivo - Real Zaragoza,Deportivo,Real Zaragoza
