,Season,Game,Score,Teams,Home Team,Away Team
356,2000-2001,36,0-4,Sevilla - Mallorca,Sevilla,Mallorca
357,2000-2001,36,2-2,Real Oviedo - Atlético,Real Oviedo,Atlético
358,2000-2001,36,2-2,Athletic - Racing,Athletic,Racing
359,2000-2001,36,0-1,Málaga - Celta,Málaga,Celta
360,2000-2001,37,1-1,Atlético - Sevilla,Atlético,Sevilla
361,2000-2001,37,1-2,Rayo Vallecano - Real Oviedo,Rayo Vallecano,Real Oviedo
362,2000-2001,37,3-2,Real Zaragoza - Málaga,Real Zaragoza,Málaga
363,2000-2001,37,2-1,Real Valladolid - Mallorca,Real Valladolid,Mallorca
364,2000-2001,37,0-2,Real Betis - Real Madrid,Real Betis,Real Madrid
365,2000-2001,37,0-0,Racing - Deportivo,Racing,Deportivo
366,2000-2001,37,0-0,Espanyol - Athletic,Espanyol,Athletic
367,2000-2001,37,0-0,R. Sociedad - Barcelona,R. Sociedad,Barcelona
368,2000-2001,37,0-0,Celta - Valencia,Celta,Valencia
369,2000-2001,37,2-2,Alavés - Numancia,Alavés,Numancia
370,2000-2001,38,2-2,Barcelona - Celta,Barcelona,Celta
371,2000-2001,38,1-2,Mallorca - Atlético,Mallorca,Atlético
372,2000-2001,38,0-1,Real Madrid - Real Valladolid,Real Madrid,Real Valladolid
373,2000-2001,38,2-1,Athletic - Alavés,Athletic,Alavés
374,2000-2001,38,2-0,Deportivo - Espanyol,Deportivo,Espanyol
375,2000-2001,38,2-1,Valencia - Real Zaragoza,Valencia,Real Zaragoza
376,2000-2001,38,2-3,Sevilla - Rayo Vallecano,Sevilla,Rayo Vallecano
377,2000-2001,38,1-2,Numancia - Real Betis,Numancia,Real Betis
378,2000-2001,38,0-1,Real Oviedo - R. Sociedad,Real Oviedo,R. Sociedad
379,2000-2001,38,0-0,Málaga - Racing,Málaga,Racing
380,2001-2002,1,2-2,R. Sociedad - Racing,R. Sociedad,Racing
381,2001-2002,1,2-1,Real Madrid - Valencia,Real Madrid,Valencia
382,2001-2002,1,2-1,Barcelona - Málaga,Barcelona,Málaga
383,2001-2002,1,2-0,Deportivo - Athletic,Deportivo,Athletic
384,2001-2002,1,1-2,Real Zaragoza - Espanyol,Real Zaragoza,Espanyol
385,2001-2002,1,1-0,Numancia - Real Oviedo,Numancia,Real Oviedo
386,2001-2002,1,1-1,Mallorca - Real Valladolid,Mallorca,Real Valladolid
387,2001-2002,1,0-2,Osasuna - Celta,Osasuna,Celta
388,2001-2002,1,1-5,Villarreal - Rayo Vallecano,Villarreal,Rayo Vallecano
389,2001-2002,1,0-3,Las Palmas - Alavés,Las Palmas,Alavés
390,2001-2002,2,4-0,Valencia - Mallorca,Valencia,Mallorca
391,2001-2002,2,0-3,Racing - Deportivo,Racing,Deportivo
392,2001-2002,2,3-1,Athletic - Barcelona,Athletic,Barcelona
393,2001-2002,2,3-3,Málaga - Real Madrid,Málaga,Real Madrid
394,2001-2002,2,2-0,Real Valladolid - Numancia,Real Valladolid,Numancia
395,2001-2002,2,1-2,Espanyol - Osasuna,Espanyol,Osasuna
396,2001-2002,2,2-2,Real Oviedo - Las Palmas,Real Oviedo,Las Palmas
397,2001-2002,2,0-0,Rayo Vallecano - Real Zaragoza,Rayo Vallecano,Real Zaragoza
398,2001-2002,2,4-1,Celta - R. Sociedad,Celta,R. Sociedad
399,2001-2002,2,0-1,Alavés - Villarreal,Alavés,Villarreal
400,2001-2002,3,2-2,Real Zaragoza - Alavés,Real Zaragoza,Alavés
401,2001-2002,3,3-1,Barcelona - Racing,Barcelona,Racing
402,2001-2002,3,4-1,Real Madrid - Athletic,Real Madrid,Athletic
403,2001-2002,3,1-1,R. Sociedad - Deportivo,R. Sociedad,Deportivo
404,2001-2002,3,1-1,Las Palmas - Real Valladolid,Las Palmas,Real Valladolid
405,2001-2002,3,0-3,Numancia - Valencia,Numancia,Valencia
406,2001-2002,3,0-1,Mallorca - Málaga,Mallorca,Málaga
407,2001-2002,3,2-2,Osasuna - Rayo Vallecano,Osasuna,Rayo Vallecano
408,2001-2002,3,1-0,Celta - Espanyol,Celta,Espanyol
409,2001-2002,3,1-0,Villarreal - Real Oviedo,Villarreal,Real Oviedo
410,2001-2002,4,0-0,Racing - Real Madrid,Racing,Real Madrid
411,2001-2002,4,2-0,Deportivo - Barcelona,Deportivo,Barcelona
412,2001-2002,4,2-1,Real Oviedo - Real Zaragoza,Real Oviedo,Real Zaragoza
413,2001-2002,4,2-0,Alavés - Osasuna,Alavés,Osasuna
414,2001-2002,4,0-0,Real Valladolid - Villarreal,Real Valladolid,Villarreal
415,2001-2002,4,2-1,Athletic - Mallorca,Athletic,Mallorca
416,2001-2002,4,1-3,Málaga - Numancia,Málaga,Numancia
417,2001-2002,4,3-0,Rayo Vallecano - Celta,Rayo Vallecano,Celta
418,2001-2002,4,5-1,Valencia - Las Palmas,Valencia,Las Palmas
419,2001-2002,4,1-2,Espanyol - R. Sociedad,Espanyol,R. Sociedad
420,2001-2002,5,0-0,Espanyol - Rayo Vallecano,Espanyol,Rayo Vallecano
421,2001-2002,5,1-1,Villarreal - Valencia,Villarreal,Valencia
422,2001-2002,5,0-6,R. Sociedad - Barcelona,R. Sociedad,Barcelona
423,2001-2002,5,3-0,Real Madrid - Deportivo,Real Madrid,Deportivo
424,2001-2002,5,1-1,Celta - Alavés,Celta,Alavés
425,2001-2002,5,0-0,Numancia - Athletic,Numancia,Athletic
426,2001-2002,5,2-1,Mallorca - Racing,Mallorca,Racing
427,2001-2002,5,0-0,Real Zaragoza - Real Valladolid,Real Zaragoza,Real Valladolid
428,2001-2002,5,0-0,Osasuna - Real Oviedo,Osasuna,Real Oviedo
429,2001-2002,5,2-1,Las Palmas - Málaga,Las Palmas,Málaga
430,2001-2002,6,1-1,Deportivo - Mallorca,Deportivo,Mallorca
431,2001-2002,6,2-0,Barcelona - Real Madrid,Barcelona,Real Madrid
432,2001-2002,6,1-0,Valencia - Real Zaragoza,Valencia,Real Zaragoza
433,2001-2002,6,1-1,Real Valladolid - Osasuna,Real Valladolid,Osasuna
434,2001-2002,6,4-2,Racing - Numancia,Racing,Numancia
435,2001-2002,6,3-1,Real Oviedo - Celta,Real Oviedo,Celta
436,2001-2002,6,1-0,Alavés - Espanyol,Alavés,Espanyol
437,2001-2002,6,4-1,Rayo Vallecano - R. Sociedad,Rayo Vallecano,R. Sociedad
438,2001-2002,6,2-1,Málaga - Villarreal,Málaga,Villarreal
439,2001-2002,6,0-3,Athletic - Las Palmas,Athletic,Las Palmas
440,2001-2002,7,1-2,Numancia - Deportivo,Numancia,Deportivo
441,2001-2002,7,0-0,Villarreal - Athletic,Villarreal,Athletic
442,2001-2002,7,2-0,Mallorca - Barcelona,Mallorca,Barcelona
443,2001-2002,7,1-1,Real Zaragoza - Málaga,Real Zaragoza,Málaga
444,2001-2002,7,2-1,Las Palmas - Racing,Las Palmas,Racing
445,2001-2002,7,1-4,R. Sociedad - Real Madrid,R. Sociedad,Real Madrid
446,2001-2002,7,2-1,Celta - Real Valladolid,Celta,Real Valladolid
447,2001-2002,7,2-0,Espanyol - Real Oviedo,Espanyol,Real Oviedo
448,2001-2002,7,0-1,Rayo Vallecano - Alavés,Rayo Vallecano,Alavés
449,2001-2002,7,1-2,Osasuna - Valencia,Osasuna,Valencia
450,2001-2002,8,4-0,Deportivo - Las Palmas,Deportivo,Las Palmas
451,2001-2002,8,3-1,Málaga - Osasuna,Málaga,Osasuna
452,2001-2002,8,0-1,Alavés - R. Sociedad,Alavés,R. Sociedad
453,2001-2002,8,1-2,Athletic - Real Zaragoza,Athletic,Real Zaragoza
454,2001-2002,8,0-2,Real Madrid - Mallorca,Real Madrid,Mallorca
455,2001-2002,8,1-1,Real Valladolid - Espanyol,Real Valladolid,Espanyol
456,2001-2002,8,4-1,Real Oviedo - Rayo Vallecano,Real Oviedo,Rayo Vallecano
457,2001-2002,8,3-1,Racing - Villarreal,Racing,Villarreal
458,2001-2002,8,1-0,Valencia - Celta,Valencia,Celta
459,2001-2002,8,1-1,Barcelona - Numancia,Barcelona,Numancia
460,2001-2002,9,3-1,Numancia - Real Madrid,Numancia,Real Madrid
461,2001-2002,9,3-2,Villarreal - Deportivo,Villarreal,Deportivo
462,2001-2002,9,1-0,Celta - Málaga,Celta,Málaga
463,2001-2002,9,1-0,Espanyol - Valencia,Espanyol,Valencia
464,2001-2002,9,0-1,Las Palmas - Barcelona,Las Palmas,Barcelona
465,2001-2002,9,2-0,Real Zaragoza - Racing,Real Zaragoza,Racing
466,2001-2002,9,0-1,R. Sociedad - Mallorca,R. Sociedad,Mallorca
467,2001-2002,9,1-1,Osasuna - Athletic,Osasuna,Athletic
468,2001-2002,9,4-0,Alavés - Real Oviedo,Alavés,Real Oviedo
469,2001-2002,9,2-1,Rayo Vallecano - Real Valladolid,Rayo Vallecano,Real Valladolid
470,2001-2002,10,2-0,Deportivo - Real Zaragoza,Deportivo,Real Zaragoza
471,2001-2002,10,0-0,Racing - Osasuna,Racing,Osasuna
472,2001-2002,10,2-1,Athletic - Celta,Athletic,Celta
473,2001-2002,10,2-1,Mallorca - Numancia,Mallorca,Numancia
474,2001-2002,10,5-1,Real Madrid - Las Palmas,Real Madrid,Las Palmas
475,2001-2002,10,1-0,Real Oviedo - R. Sociedad,Real Oviedo,R. Sociedad
476,2001-2002,10,0-0,Málaga - Espanyol,Málaga,Espanyol
477,2001-2002,10,2-2,Valencia - Rayo Vallecano,Valencia,Rayo Vallecano
478,2001-2002,10,2-1,Real Valladolid - Alavés,Real Valladolid,Alavés
479,2001-2002,10,1-2,Barcelona - Villarreal,Barcelona,Villarreal
480,2001-2002,11,1-1,Osasuna - Deportivo,Osasuna,Deportivo
481,2001-2002,11,0-1,Villarreal - Real Madrid,Villarreal,Real Madrid
482,2001-2002,11,1-1,Alavés - Valencia,Alavés,Valencia
483,2001-2002,11,1-0,Las Palmas - Mallorca,Las Palmas,Mallorca
484,2001-2002,11,1-1,Celta - Racing,Celta,Racing
485,2001-2002,11,4-1,R. Sociedad - Numancia,R. Sociedad,Numancia
486,2001-2002,11,2-1,Espanyol - Athletic,Espanyol,Athletic
487,2001-2002,11,4-2,Rayo Vallecano - Málaga,Rayo Vallecano,Málaga
488,2001-2002,11,4-1,Real Oviedo - Real Valladolid,Real Oviedo,Real Valladolid
489,2001-2002,11,3-1,Real Zaragoza - Barcelona,Real Zaragoza,Barcelona
490,2001-2002,12,2-1,Mallorca - Villarreal,Mallorca,Villarreal
491,2001-2002,12,0-1,Numancia - Las Palmas,Numancia,Las Palmas
492,2001-2002,12,2-0,Barcelona - Osasuna,Barcelona,Osasuna
493,2001-2002,12,1-2,Racing - Espanyol,Racing,Espanyol
494,2001-2002,12,4-2,Athletic - Rayo Vallecano,Athletic,Rayo Vallecano
495,2001-2002,12,3-1,Málaga - Alavés,Málaga,Alavés
496,2001-2002,12,2-1,Real Valladolid - R. Sociedad,Real Valladolid,R. Sociedad
497,2001-2002,12,2-0,Valencia - Real Oviedo,Valencia,Real Oviedo
498,2001-2002,12,1-0,Deportivo - Celta,Deportivo,Celta
499,2001-2002,12,3-0,Real Madrid - Real Zaragoza,Real Madrid,Real Zaragoza
500,2001-2002,13,2-3,Osasuna - Real Madrid,Osasuna,Real Madrid
501,2001-2002,13,0-0,Real Valladolid - Valencia,Real Valladolid,Valencia
502,2001-2002,13,4-1,Rayo Vallecano - Racing,Rayo Vallecano,Racing
503,2001-2002,13,0-2,Espanyol - Deportivo,Espanyol,Deportivo
504,2001-2002,13,3-3,Celta - Barcelona,Celta,Barcelona
505,2001-2002,13,1-1,R. Sociedad - Las Palmas,R. Sociedad,Las Palmas
506,2001-2002,13,0-0,Villarreal - Numancia,Villarreal,Numancia
507,2001-2002,13,3-2,Real Oviedo - Málaga,Real Oviedo,Málaga
508,2001-2002,13,2-1,Alavés - Athletic,Alavés,Athletic
509,2001-2002,13,1-1,Real Zaragoza - Mallorca,Real Zaragoza,Mallorca
510,2001-2002,14,1-1,Numancia - Real Zaragoza,Numancia,Real Zaragoza
511,2001-2002,14,2-0,Valencia - R. Sociedad,Valencia,R. Sociedad
512,2001-2002,14,1-5,Las Palmas - Villarreal,Las Palmas,Villarreal
513,2001-2002,14,4-2,Barcelona - Espanyol,Barcelona,Espanyol
514,2001-2002,14,3-0,Real Madrid - Celta,Real Madrid,Celta
515,2001-2002,14,2-1,Racing - Alavés,Racing,Alavés
516,2001-2002,14,4-0,Athletic - Real Oviedo,Athletic,Real Oviedo
517,2001-2002,14,3-1,Málaga - Real Valladolid,Málaga,Real Valladolid
518,2001-2002,14,1-1,Mallorca - Osasuna,Mallorca,Osasuna
519,2001-2002,14,1-1,Deportivo - Rayo Vallecano,Deportivo,Rayo Vallecano
520,2001-2002,15,2-2,Rayo Vallecano - Barcelona,Rayo Vallecano,Barcelona
521,2001-2002,15,0-2,R. Sociedad - Villarreal,R. Sociedad,Villarreal
522,2001-2002,15,1-2,Espanyol - Real Madrid,Espanyol,Real Madrid
523,2001-2002,15,3-1,Alavés - Deportivo,Alavés,Deportivo
524,2001-2002,15,3-1,Real Zaragoza - Las Palmas,Real Zaragoza,Las Palmas
525,2001-2002,15,1-0,Real Oviedo - Racing,Real Oviedo,Racing
526,2001-2002,15,2-0,Osasuna - Numancia,Osasuna,Numancia
527,2001-2002,15,2-2,Celta - Mallorca,Celta,Mallorca
528,2001-2002,15,0-0,Real Valladolid - Athletic,Real Valladolid,Athletic
529,2001-2002,15,2-0,Valencia - Málaga,Valencia,Málaga
530,2001-2002,16,3-1,Real Madrid - Rayo Vallecano,Real Madrid,Rayo Vallecano
531,2001-2002,16,3-2,Barcelona - Alavés,Barcelona,Alavés
532,2001-2002,16,4-2,Numancia - Celta,Numancia,Celta
533,2001-2002,16,2-2,Racing - Real Valladolid,Racing,Real Valladolid
534,2001-2002,16,1-1,Villarreal - Real Zaragoza,Villarreal,Real Zaragoza
535,2001-2002,16,3-2,Mallorca - Espanyol,Mallorca,Espanyol
536,2001-2002,16,1-1,Athletic - Valencia,Athletic,Valencia
537,2001-2002,16,3-2,Las Palmas - Osasuna,Las Palmas,Osasuna
538,2001-2002,16,3-0,Málaga - R. Sociedad,Málaga,R. Sociedad
539,2001-2002,16,3-0,Deportivo - Real Oviedo,Deportivo,Real Oviedo
540,2001-2002,17,2-1,Málaga - Athletic,Málaga,Athletic
541,2001-2002,17,2-2,Rayo Vallecano - Mallorca,Rayo Vallecano,Mallorca
542,2001-2002,17,0-1,Celta - Las Palmas,Celta,Las Palmas
543,2001-2002,17,1-0,Osasuna - Villarreal,Osasuna,Villarreal
544,2001-2002,17,2-0,Espanyol - Numancia,Espanyol,Numancia
545,2001-2002,17,3-1,Real Valladolid - Deportivo,Real Valladolid,Deportivo
546,2001-2002,17,1-0,Valencia - Racing,Valencia,Racing
547,2001-2002,17,1-1,R. Sociedad - Real Zaragoza,R. Sociedad,Real Zaragoza
548,2001-2002,17,1-3,Alavés - Real Madrid,Alavés,Real Madrid
549,2001-2002,17,2-3,Real Oviedo - Barcelona,Real Oviedo,Barcelona
550,2001-2002,18,3-1,Barcelona - Real Valladolid,Barcelona,Real Valladolid
551,2001-2002,18,2-0,Deportivo - Valencia,Deportivo,Valencia
552,2001-2002,18,2-0,Villarreal - Celta,Villarreal,Celta
553,2001-2002,18,0-2,Numancia - Rayo Vallecano,Numancia,Rayo Vallecano
554,2001-2002,18,4-3,Mallorca - Alavés,Mallorca,Alavés
555,2001-2002,18,0-1,Racing - Málaga,Racing,Málaga
556,2001-2002,18,0-2,R. Sociedad - Athletic,R. Sociedad,Athletic
557,2001-2002,18,4-2,Real Zaragoza - Osasuna,Real Zaragoza,Osasuna
558,2001-2002,18,1-0,Las Palmas - Espanyol,Las Palmas,Espanyol
559,2001-2002,18,4-0,Real Madrid - Real Oviedo,Real Madrid,Real Oviedo
560,2001-2002,19,0-1,Valencia - Barcelona,Valencia,Barcelona
561,2001-2002,19,1-1,Osasuna - R. Sociedad,Osasuna,R. Sociedad
562,2001-2002,19,1-1,Celta - Real Zaragoza,Celta,Real Zaragoza
563,2001-2002,19,2-1,Espanyol - Villarreal,Espanyol,Villarreal
564,2001-2002,19,1-1,Rayo Vallecano - Las Palmas,Rayo Vallecano,Las Palmas
565,2001-2002,19,0-2,Alavés - Numancia,Alavés,Numancia
566,2001-2002,19,1-3,Málaga - Deportivo,Málaga,Deportivo
567,2001-2002,19,3-1,Athletic - Racing,Athletic,Racing
568,2001-2002,19,1-1,Real Oviedo - Mallorca,Real Oviedo,Mallorca
569,2001-2002,19,2-2,Real Valladolid - Real Madrid,Real Valladolid,Real Madrid
570,2001-2002,20,5-0,Espanyol - Real Zaragoza,Espanyol,Real Zaragoza
571,2001-2002,20,0-0,Málaga - Barcelona,Málaga,Barcelona
572,2001-2002,20,2-2,Athletic - Deportivo,Athletic,Deportivo
573,2001-2002,20,0-1,Rayo Vallecano - Villarreal,Rayo Vallecano,Villarreal
574,2001-2002,20,1-0,Alavés - Las Palmas,Alavés,Las Palmas
575,2001-2002,20,3-0,Real Oviedo - Numancia,Real Oviedo,Numancia
576,2001-2002,20,2-0,Real Valladolid - Mallorca,Real Valladolid,Mallorca
577,2001-2002,20,1-4,Racing - R. Sociedad,Racing,R. Sociedad
578,2001-2002,20,1-0,Celta - Osasuna,Celta,Osasuna
579,2001-2002,20,0-1,Valencia - Real Madrid,Valencia,Real Madrid
580,2001-2002,21,7-0,Barcelona - Athletic,Barcelona,Athletic
581,2001-2002,21,1-3,Osasuna - Espanyol,Osasuna,Espanyol
582,2001-2002,21,2-1,Deportivo - Racing,Deportivo,Racing
583,2001-2002,21,4-3,Real Madrid - Málaga,Real Madrid,Málaga
584,2001-2002,21,2-0,Villarreal - Alavés,Villarreal,Alavés
585,2001-2002,21,0-0,Numancia - Real Valladolid,Numancia,Real Valladolid
586,2001-2002,21,6-1,Real Zaragoza - Rayo Vallecano,Real Zaragoza,Rayo Vallecano
587,2001-2002,21,2-2,R. Sociedad - Celta,R. Sociedad,Celta
588,2001-2002,21,1-0,Las Palmas - Real Oviedo,Las Palmas,Real Oviedo
589,2001-2002,21,2-2,Mallorca - Valencia,Mallorca,Valencia
590,2001-2002,22,2-1,Rayo Vallecano - Osasuna,Rayo Vallecano,Osasuna
591,2001-2002,22,1-0,Athletic - Real Madrid,Athletic,Real Madrid
592,2001-2002,22,4-1,Deportivo - R. Sociedad,Deportivo,R. Sociedad
593,2001-2002,22,0-1,Espanyol - Celta,Espanyol,Celta
594,2001-2002,22,3-0,Valencia - Numancia,Valencia,Numancia
595,2001-2002,22,0-1,Málaga - Mallorca,Málaga,Mallorca
596,2001-2002,22,1-0,Real Valladolid - Las Palmas,Real Valladolid,Las Palmas
597,2001-2002,22,1-0,Alavés - Real Zaragoza,Alavés,Real Zaragoza
598,2001-2002,22,1-3,Real Oviedo - Villarreal,Real Oviedo,Villarreal
599,2001-2002,22,4-0,Racing - Barcelona,Racing,Barcelona
600,2001-2002,23,2-3,Barcelona - Deportivo,Barcelona,Deportivo
601,2001-2002,23,1-0,Real Madrid - Racing,Real Madrid,Racing
602,2001-2002,23,0-2,Las Palmas - Valencia,Las Palmas,Valencia
603,2001-2002,23,5-2,Real Zaragoza - Real Oviedo,Real Zaragoza,Real Oviedo
604,2001-2002,23,2-1,R. Sociedad - Espanyol,R. Sociedad,Espanyol
605,2001-2002,23,3-2,Numancia - Málaga,Numancia,Málaga
606,2001-2002,23,2-1,Villarreal - Real Valladolid,Villarreal,Real Valladolid
607,2001-2002,23,0-1,Osasuna - Alavés,Osasuna,Alavés
608,2001-2002,23,1-1,Celta - Rayo Vallecano,Celta,Rayo Vallecano
609,2001-2002,23,1-0,Mallorca - Athletic,Mallorca,Athletic
610,2001-2002,24,2-2,Deportivo - Real Madrid,Deportivo,Real Madrid
611,2001-2002,24,3-1,Athletic - Numancia,Athletic,Numancia
612,2001-2002,24,2-1,Málaga - Las Palmas,Málaga,Las Palmas
613,2001-2002,24,2-1,Racing - Mallorca,Racing,Mallorca
614,2001-2002,24,2-0,Real Valladolid - Real Zaragoza,Real Valladolid,Real Zaragoza
615,2001-2002,24,1-1,Rayo Vallecano - Espanyol,Rayo Vallecano,Espanyol
616,2001-2002,24,2-3,Real Oviedo - Osasuna,Real Oviedo,Osasuna
617,2001-2002,24,2-2,Alavés - Celta,Alavés,Celta
618,2001-2002,24,3-1,Valencia - Villarreal,Valencia,Villarreal
619,2001-2002,24,3-0,Barcelona - R. Sociedad,Barcelona,R. Sociedad
620,2001-2002,25,2-1,Mallorca - Deportivo,Mallorca,Deportivo
621,2001-2002,25,2-0,R. Sociedad - Rayo Vallecano,R. Sociedad,Rayo Vallecano
622,2001-2002,25,1-1,Real Zaragoza - Valencia,Real Zaragoza,Valencia
623,2001-2002,25,2-2,Real Madrid - Barcelona,Real Madrid,Barcelona
624,2001-2002,25,2-1,Osasuna - Real Valladolid,Osasuna,Real Valladolid
625,2001-2002,25,1-0,Numancia - Racing,Numancia,Racing
626,2001-2002,25,1-0,Celta - Real Oviedo,Celta,Real Oviedo
627,2001-2002,25,0-0,Espanyol - Alavés,Espanyol,Alavés
628,2001-2002,25,0-0,Las Palmas - Athletic,Las Palmas,Athletic
629,2001-2002,25,1-2,Villarreal - Málaga,Villarreal,Málaga
630,2001-2002,26,4-1,Deportivo - Numancia,Deportivo,Numancia
631,2001-2002,26,1-1,Athletic - Villarreal,Athletic,Villarreal
632,2001-2002,26,1-0,Valencia - Osasuna,Valencia,Osasuna
633,2001-2002,26,4-0,Real Madrid - R. Sociedad,Real Madrid,R. Sociedad
634,2001-2002,26,2-1,Racing - Las Palmas,Racing,Las Palmas
635,2001-2002,26,1-2,Real Valladolid - Celta,Real Valladolid,Celta
636,2001-2002,26,2-2,Real Oviedo - Espanyol,Real Oviedo,Espanyol
637,2001-2002,26,4-2,Alavés - Rayo Vallecano,Alavés,Rayo Vallecano
638,2001-2002,26,2-0,Málaga - Real Zaragoza,Málaga,Real Zaragoza
639,2001-2002,26,1-1,Barcelona - Mallorca,Barcelona,Mallorca
640,2001-2002,27,2-0,Las Palmas - Deportivo,Las Palmas,Deportivo
641,2001-2002,27,0-2,Rayo Vallecano - Real Oviedo,Rayo Vallecano,Real Oviedo
642,2001-2002,27,1-0,Espanyol - Real Valladolid,Espanyol,Real Valladolid
643,2001-2002,27,4-2,Villarreal - Racing,Villarreal,Racing
644,2001-2002,27,2-2,Real Zaragoza - Athletic,Real Zaragoza,Athletic
645,2001-2002,27,1-0,Mallorca - Real Madrid,Mallorca,Real Madrid
646,2001-2002,27,1-1,R. Sociedad - Alavés,R. Sociedad,Alavés
647,2001-2002,27,3-3,Osasuna - Málaga,Osasuna,Málaga
648,2001-2002,27,1-1,Numancia - Barcelona,Numancia,Barcelona
649,2001-2002,27,3-2,Celta - Valencia,Celta,Valencia
650,2001-2002,28,1-0,Real Madrid - Numancia,Real Madrid,Numancia
651,2001-2002,28,4-2,Deportivo - Villarreal,Deportivo,Villarreal
652,2001-2002,28,1-4,Málaga - Celta,Málaga,Celta
653,2001-2002,28,0-1,Valencia - Espanyol,Valencia,Espanyol
654,2001-2002,28,2-1,Racing - Real Zaragoza,Racing,Real Zaragoza
655,2001-2002,28,1-1,Mallorca - R. Sociedad,Mallorca,R. Sociedad
656,2001-2002,28,3-3,Real Oviedo - Alavés,Real Oviedo,Alavés
657,2001-2002,28,1-3,Real Valladolid - Rayo Vallecano,Real Valladolid,Rayo Vallecano
658,2001-2002,28,4-1,Barcelona - Las Palmas,Barcelona,Las Palmas
659,2001-2002,28,0-1,Athletic - Osasuna,Athletic,Osasuna
660,2001-2002,29,1-4,Rayo Vallecano - Valencia,Rayo Vallecano,Valencia
661,2001-2002,29,1-1,Osasuna - Racing,Osasuna,Racing
662,2001-2002,29,0-2,Numancia - Mallorca,Numancia,Mallorca
663,2001-2002,29,4-4,Villarreal - Barcelona,Villarreal,Barcelona
664,2001-2002,29,2-1,Celta - Athletic,Celta,Athletic
665,2001-2002,29,1-2,Espanyol - Málaga,Espanyol,Málaga
666,2001-2002,29,4-2,Alavés - Real Valladolid,Alavés,Real Valladolid
667,2001-2002,29,3-0,R. Sociedad - Real Oviedo,R. Sociedad,Real Oviedo
668,2001-2002,29,0-1,Las Palmas - Real Madrid,Las Palmas,Real Madrid
669,2001-2002,29,2-1,Real Zaragoza - Deportivo,Real Zaragoza,Deportivo
670,2001-2002,30,2-1,Deportivo - Osasuna,Deportivo,Osasuna
671,2001-2002,30,1-2,Valencia - Alavés,Valencia,Alavés
672,2001-2002,30,4-4,Barcelona - Real Zaragoza,Barcelona,Real Zaragoza
673,2001-2002,30,4-0,Real Madrid - Villarreal,Real Madrid,Villarreal
674,2001-2002,30,0-1,Athletic - Espanyol,Athletic,Espanyol
675,2001-2002,30,3-0,Racing - Celta,Racing,Celta
676,2001-2002,30,3-3,Numancia - R. Sociedad,Numancia,R. Sociedad
677,2001-2002,30,1-1,Málaga - Rayo Vallecano,Málaga,Rayo Vallecano
678,2001-2002,30,1-0,Real Valladolid - Real Oviedo,Real Valladolid,Real Oviedo
679,2001-2002,30,2-1,Mallorca - Las Palmas,Mallorca,Las Palmas
680,2001-2002,31,2-1,Celta - Deportivo,Celta,Deportivo
681,2001-2002,31,2-2,Villarreal - Mallorca,Villarreal,Mallorca
682,2001-2002,31,3-1,Osasuna - Barcelona,Osasuna,Barcelona
683,2001-2002,31,3-0,Espanyol - Racing,Espanyol,Racing
684,2001-2002,31,1-2,Rayo Vallecano - Athletic,Rayo Vallecano,Athletic
685,2001-2002,31,1-2,Alavés - Málaga,Alavés,Málaga
686,2001-2002,31,3-1,R. Sociedad - Real Valladolid,R. Sociedad,Real Valladolid
687,2001-2002,31,2-3,Real Zaragoza - Real Madrid,Real Zaragoza,Real Madrid
688,2001-2002,31,1-1,Las Palmas - Numancia,Las Palmas,Numancia
689,2001-2002,31,0-0,Real Oviedo - Valencia,Real Oviedo,Valencia
690,2001-2002,32,1-1,Real Madrid - Osasuna,Real Madrid,Osasuna
691,2001-2002,32,1-0,Valencia - Real Valladolid,Valencia,Real Valladolid
692,2001-2002,32,1-3,Numancia - Villarreal,Numancia,Villarreal
693,2001-2002,32,2-1,Mallorca - Real Zaragoza,Mallorca,Real Zaragoza
694,2001-2002,32,1-1,Racing - Rayo Vallecano,Racing,Rayo Vallecano
695,2001-2002,32,2-0,Athletic - Alavés,Athletic,Alavés
696,2001-2002,32,2-2,Málaga - Real Oviedo,Málaga,Real Oviedo
697,2001-2002,32,1-0,Deportivo - Espanyol,Deportivo,Espanyol
698,2001-2002,32,2-1,Las Palmas - R. Sociedad,Las Palmas,R. Sociedad
699,2001-2002,32,1-1,Barcelona - Celta,Barcelona,Celta
700,2001-2002,33,1-2,R. Sociedad - Valencia,R. Sociedad,Valencia
701,2001-2002,33,3-0,Celta - Real Madrid,Celta,Real Madrid
702,2001-2002,33,0-0,Espanyol - Barcelona,Espanyol,Barcelona
703,2001-2002,33,2-1,Villarreal - Las Palmas,Villarreal,Las Palmas
704,2001-2002,33,1-0,Osasuna - Mallorca,Osasuna,Mallorca
705,2001-2002,33,5-1,Alavés - Racing,Alavés,Racing
706,2001-2002,33,5-0,Real Oviedo - Athletic,Real Oviedo,Athletic
707,2001-2002,33,0-0,Real Valladolid - Málaga,Real Valladolid,Málaga
708,2001-2002,33,3-1,Real Zaragoza - Numancia,Real Zaragoza,Numancia
